# Query Group 1 Filters: diseases: Alzheimer disease | tissues: brain | cellTypes: neuron
# Query Group 2 Filters: diseases: normal | tissues: brain | cellTypes: neuron
Gene,Log Fold Change,Effect Size,Adjusted P-Value
LUCAT1,-0.001,-0.020,2.735e-26
C1QTNF6,-0.002,-0.020,2.043e-19
KCNJ2-AS1,-0.001,-0.020,5.699e-69
CTD-2501E16.2,-0.001,-0.020,0.000e+0
GJA9,-0.001,-0.020,0.000e+0
LINC02680,-0.001,-0.020,0.000e+0
LINC02337,-0.001,-0.020,0.000e+0
KCNIP1-AS1,-0.001,-0.020,6.912e-26
RP11-386I23.1,-0.001,-0.020,0.000e+0
JMJD1C-AS1,-0.001,-0.020,2.640e-77
RP11-722P11.8,-0.001,-0.020,1.639e-33
PCAT4,-0.001,-0.020,2.614e-54
BDKRB2,-0.001,-0.020,0.000e+0
RP11-465B22.9,-0.001,-0.020,0.000e+0
RPL21P136,-0.001,-0.020,0.000e+0
RP11-390M11.1,-0.001,-0.020,0.000e+0
WNT8A,-0.003,-0.020,8.923e-24
VLDLR,-0.005,-0.020,5.302e-16
FAM78B,-0.008,-0.020,5.927e-14
RP11-705C15.3,-0.001,-0.020,0.000e+0
RP5-1047A19.16,-0.001,-0.020,0.000e+0
AKIRIN2,-0.005,-0.020,2.235e-15
CCNL2P1,-0.001,-0.020,0.000e+0
HMGN1P1,-0.001,-0.020,0.000e+0
CYP2G1P,-0.001,-0.020,0.000e+0
HSD3BP3,-0.001,-0.020,0.000e+0
KDM4C,-0.014,-0.020,2.392e-12
RP11-761I4.4,-0.001,-0.020,0.000e+0
ZNF180,-0.003,-0.020,5.942e-18
RP11-382A20.4,-0.005,-0.020,5.828e-16
FAM9B,-0.001,-0.020,5.851e-24
ALMS1-IT1,-0.001,-0.020,0.000e+0
PARTICL,-0.001,-0.020,0.000e+0
FAF1-AS1,-0.001,-0.020,2.783e-48
RNU6-611P,-0.001,-0.020,0.000e+0
NCMAP,-0.002,-0.020,3.587e-21
RPL23AP7,-0.001,-0.020,0.000e+0
RP11-260G13.1,-0.003,-0.020,4.753e-21
RP11-885B4.2,-0.001,-0.020,0.000e+0
bP-2189O9.5,-0.001,-0.020,0.000e+0
CTD-2025J6.2,-0.001,-0.020,0.000e+0
GUSBP17,-0.001,-0.020,0.000e+0
PIK3C2G,-0.004,-0.020,1.410e-18
RP11-669E14.4,-0.001,-0.020,6.663e-77
SNORA61,-0.001,-0.020,0.000e+0
RTL4,-0.001,-0.020,1.371e-185
RP11-631N16.2,-0.003,-0.020,9.023e-18
SMARCE1P5,-0.001,-0.020,0.000e+0
RP11-460N11.2,-0.001,-0.020,0.000e+0
SNORD114-28,-0.001,-0.020,0.000e+0
RPL34P18,-0.001,-0.020,0.000e+0
RP11-157P23.2,-0.001,-0.020,0.000e+0
CYP4Z2P,-0.001,-0.020,0.000e+0
RPL23AP42,-0.001,-0.020,0.000e+0
BTNL9,-0.003,-0.020,5.610e-15
RP11-252I14.1,-0.001,-0.020,0.000e+0
RP11-61L19.2,-0.001,-0.020,5.662e-213
RN7SL1,-0.001,-0.020,0.000e+0
RP11-69M1.9,-0.001,-0.020,0.000e+0
LEFTY2,-0.001,-0.020,8.689e-82
IRS4,-0.001,-0.020,1.166e-85
PGBD2,-0.002,-0.020,9.390e-22
RP1-133I17.1,-0.001,-0.020,0.000e+0
PTGER4,-0.001,-0.020,4.959e-39
AC010148.1,-0.001,-0.020,0.000e+0
MTMR8,-0.005,-0.020,9.257e-17
RP5-1022J11.2,-0.001,-0.020,9.329e-54
AC104451.2,-0.001,-0.020,0.000e+0
DYDC2,-0.001,-0.020,7.940e-30
HTR2B,-0.001,-0.020,1.614e-46
RNU2-27P,-0.001,-0.020,0.000e+0
RP11-48B14.1,-0.001,-0.020,0.000e+0
PLEKHO2,-0.001,-0.020,0.000e+0
MYT1L-AS1,-0.001,-0.020,2.876e-33
RP13-401N8.1,-0.001,-0.020,1.646e-26
LINC02032,-0.001,-0.020,0.000e+0
RP11-48C7.8,-0.001,-0.020,0.000e+0
RNU4-2,-0.001,-0.020,0.000e+0
RP1-168P16.4,-0.001,-0.020,0.000e+0
RP11-355I22.5,-0.001,-0.020,3.264e-113
RCC2P6,-0.001,-0.020,0.000e+0
RP11-195F19.31,-0.001,-0.020,0.000e+0
SNRPB,-0.004,-0.020,2.786e-16
SMIM1,-0.001,-0.020,5.482e-43
PCDHA5,-0.001,-0.020,0.000e+0
PSMC3IP,-0.002,-0.020,4.484e-20
AP000240.9,-0.001,-0.020,0.000e+0
RP5-994D16.13,-0.001,-0.020,0.000e+0
ACP1,-0.005,-0.020,1.680e-15
RP11-168F16.1,-0.001,-0.020,0.000e+0
U62631.5,-0.001,-0.020,0.000e+0
VAMP9P,-0.001,-0.020,0.000e+0
GYG2,-0.003,-0.020,2.857e-18
LOXL1,-0.002,-0.020,2.909e-23
RPS29P14,-0.001,-0.020,0.000e+0
RP11-762L8.6,-0.001,-0.020,0.000e+0
CTC-559E9.15,-0.001,-0.020,0.000e+0
RP13-52K8.1,-0.001,-0.020,0.000e+0
PABPC1P11,-0.001,-0.020,0.000e+0
FAM21EP,-0.001,-0.020,0.000e+0
CFAP126,-0.001,-0.020,4.471e-149
MROH2B,-0.001,-0.020,2.736e-41
RP11-326J18.1,-0.001,-0.020,0.000e+0
RNU6-503P,-0.001,-0.020,0.000e+0
PEX5L-AS1,-0.001,-0.020,8.753e-42
RP11-173A16.2,-0.001,-0.020,0.000e+0
RN7SL329P,-0.001,-0.020,0.000e+0
SOS2,-0.011,-0.020,5.107e-15
PSG1,-0.001,-0.020,5.686e-135
ACKR3,-0.002,-0.020,2.904e-25
RHPN2P1,-0.001,-0.020,0.000e+0
TMEM35B,-0.001,-0.020,0.000e+0
LINC00901,-0.002,-0.020,6.181e-28
KIF11,-0.002,-0.020,1.022e-24
CTB-102L5.8,-0.001,-0.020,0.000e+0
RPS23P6,-0.001,-0.020,0.000e+0
RN7SL23P,-0.001,-0.020,0.000e+0
ACTG1P20,-0.001,-0.020,0.000e+0
FBXO31,-0.005,-0.020,1.038e-15
CCDC122,-0.004,-0.020,8.892e-17
ANKRD36BP1,-0.001,-0.020,0.000e+0
RP11-732A19.1,-0.001,-0.020,0.000e+0
PUS3,-0.002,-0.020,5.363e-21
CTD-3074O7.13,-0.001,-0.020,0.000e+0
RP11-747H7.3,-0.001,-0.020,0.000e+0
CTAGE3P,-0.001,-0.020,0.000e+0
TMEM9B-AS1,-0.003,-0.020,2.944e-19
IKZF1,-0.002,-0.020,2.733e-26
RP11-229P13.2,-0.001,-0.020,0.000e+0
TBX3,-0.001,-0.020,2.599e-107
TSSK4,-0.001,-0.020,0.000e+0
WASH7P,-0.001,-0.020,0.000e+0
RP11-467I20.6,-0.001,-0.020,0.000e+0
RP11-771F20.1,-0.001,-0.020,0.000e+0
RPLP0P2,-0.001,-0.020,0.000e+0
RNU1-8P,-0.001,-0.020,0.000e+0
NAALADL2,-0.014,-0.020,6.795e-14
TMEM158,-0.005,-0.020,1.341e-16
RPSAP21,-0.001,-0.020,0.000e+0
S100A10,-0.002,-0.020,2.376e-19
DDX55P1,-0.001,-0.020,0.000e+0
SC22CB-1E7.1,-0.001,-0.020,0.000e+0
RGPD4,-0.002,-0.020,1.153e-26
NANOGNBP2,-0.001,-0.020,0.000e+0
RP11-691N7.6,-0.001,-0.020,0.000e+0
TMEM105,-0.001,-0.020,7.137e-78
EMX2OS,-0.002,-0.020,5.753e-24
AC013727.2,-0.001,-0.020,0.000e+0
C3P1,-0.001,-0.020,0.000e+0
CTB-12A17.3,-0.002,-0.020,1.477e-26
RAX,-0.001,-0.020,0.000e+0
HERC2P7_ENSG00000274471,-0.001,-0.020,0.000e+0
DUTP3,-0.001,-0.020,0.000e+0
RP11-661C3.2,-0.001,-0.020,0.000e+0
KRT222,-0.001,-0.020,4.467e-23
MTCO2P19,-0.001,-0.020,0.000e+0
RXRG,-0.003,-0.020,2.865e-19
YAP1,-0.003,-0.020,4.905e-22
C1orf105,-0.001,-0.020,4.979e-35
LINC02864,-0.001,-0.020,0.000e+0
BMP6,-0.003,-0.020,4.947e-16
AC012613.2,-0.001,-0.020,0.000e+0
RP11-453E17.3,-0.001,-0.020,0.000e+0
ANKRD20A9P,-0.001,-0.020,0.000e+0
DNM3-IT1,-0.001,-0.020,0.000e+0
AC008982.2,-0.001,-0.020,0.000e+0
RNU6-653P,-0.001,-0.020,0.000e+0
AC018755.16,-0.001,-0.020,0.000e+0
PRKX-AS1,-0.001,-0.020,9.159e-47
RP11-444B5.1,-0.001,-0.020,0.000e+0
RP11-529K1.5,-0.001,-0.020,0.000e+0
RPL7P9,-0.001,-0.020,0.000e+0
RP11-110H1.4,-0.001,-0.020,0.000e+0
AC006538.1,-0.001,-0.020,0.000e+0
CDC14A,-0.003,-0.020,4.888e-21
WNT7A,-0.003,-0.020,1.990e-20
RN7SL741P,-0.001,-0.020,0.000e+0
SCARNA23,-0.001,-0.020,0.000e+0
HMGN1P8,-0.001,-0.020,0.000e+0
RNU6-831P,-0.001,-0.020,0.000e+0
XXbac-BPGBPG55C20.4,-0.001,-0.020,0.000e+0
RP11-810D13.1,-0.001,-0.020,0.000e+0
DIO2,-0.004,-0.020,3.831e-19
TMEM231P1,-0.001,-0.020,0.000e+0
RP11-252P19.1,-0.001,-0.020,2.883e-33
RP11-514P8.10,-0.001,-0.020,3.203e-34
RNA5SP479,-0.001,-0.020,0.000e+0
FAM245B,-0.001,-0.020,0.000e+0
PDZPH1P,-0.001,-0.020,0.000e+0
ADAM5,-0.001,-0.020,0.000e+0
CYBB,-0.001,-0.020,0.000e+0
MORF4L1P1,-0.001,-0.020,0.000e+0
TVP23B,-0.003,-0.020,1.379e-18
CTC-459M5.2,-0.001,-0.020,3.861e-58
CAVIN2,-0.001,-0.020,9.514e-59
DCDC2C,-0.002,-0.020,2.235e-20
RPL7P24,-0.001,-0.020,0.000e+0
MIR663AHG,-0.001,-0.020,0.000e+0
OCM,-0.002,-0.020,3.292e-22
RP11-879F14.1,-0.002,-0.020,9.427e-26
FRG1DP,-0.001,-0.020,0.000e+0
RNY1P9,-0.001,-0.020,0.000e+0
RP11-494M8.4,-0.001,-0.020,0.000e+0
LINC00551,-0.001,-0.020,5.973e-24
AC018643.4,-0.001,-0.020,2.854e-49
SOX3,-0.001,-0.020,3.273e-158
TAF9BP1,-0.001,-0.020,0.000e+0
AP000462.1,-0.001,-0.020,0.000e+0
CTC-563A5.4,-0.001,-0.020,0.000e+0
RP11-730G20.1,-0.001,-0.020,1.156e-49
HMGN1P3,-0.001,-0.020,0.000e+0
MT-TT,-0.001,-0.020,0.000e+0
RP11-1008M1.1,-0.001,-0.020,0.000e+0
RP11-546M4.1,-0.001,-0.020,0.000e+0
NPNT,-0.004,-0.020,1.116e-16
NOL12,-0.001,-0.020,5.191e-27
RP11-977G19.12,-0.001,-0.020,0.000e+0
RP1-80B9.4,-0.001,-0.020,0.000e+0
LINC00354,-0.001,-0.020,3.359e-44
CBWD4P,-0.001,-0.020,0.000e+0
GGT3P,-0.001,-0.020,0.000e+0
MIR3671,-0.001,-0.020,0.000e+0
RP11-775F1.2,-0.001,-0.020,0.000e+0
RNU6-436P,-0.001,-0.020,0.000e+0
RPL7AP26,-0.001,-0.021,0.000e+0
RN7SL180P,-0.001,-0.021,0.000e+0
RPL37A-DT,-0.001,-0.021,0.000e+0
PROZ,-0.001,-0.021,4.495e-68
HEG1,-0.004,-0.021,7.471e-19
TEX12,-0.001,-0.021,0.000e+0
LRRC55,-0.003,-0.021,3.584e-21
UNK,-0.007,-0.021,1.232e-16
CTA-256D12.11,-0.001,-0.021,0.000e+0
XRCC1,-0.004,-0.021,2.278e-18
TTTY11,-0.001,-0.021,8.084e-166
RPS19P3,-0.001,-0.021,0.000e+0
RNU6-672P,-0.001,-0.021,0.000e+0
AC008277.1,-0.001,-0.021,5.203e-78
SPDYE17,-0.001,-0.021,0.000e+0
ADAT3,-0.001,-0.021,0.000e+0
RP5-864I18.1,-0.001,-0.021,0.000e+0
TMED10P1,-0.001,-0.021,0.000e+0
FOXP4-AS1,-0.001,-0.021,3.697e-45
TAS2R5,-0.001,-0.021,8.020e-260
TRIM6,-0.001,-0.021,0.000e+0
RP11-561I11.4,-0.003,-0.021,2.037e-18
PTK6,-0.001,-0.021,4.562e-53
MGC32805,-0.002,-0.021,8.384e-24
RP11-146N23.1,-0.001,-0.021,0.000e+0
RN7SL505P,-0.001,-0.021,0.000e+0
RP11-326O24.1,-0.001,-0.021,0.000e+0
Z69720.2,-0.001,-0.021,1.696e-49
AC011625.1,-0.001,-0.021,1.678e-54
HMGB1P8,-0.001,-0.021,0.000e+0
THRSP,-0.001,-0.021,1.951e-54
RP11-158G18.1,-0.001,-0.021,0.000e+0
RPL12P28,-0.001,-0.021,0.000e+0
SECTM1,-0.001,-0.021,9.443e-57
CTD-3064H18.4,-0.001,-0.021,8.872e-63
AP000640.2,-0.001,-0.021,0.000e+0
RP11-612B6.2,-0.001,-0.021,0.000e+0
TICRR,-0.002,-0.021,1.615e-33
HSPD1P11,-0.001,-0.021,0.000e+0
RP11-52A20.2,-0.001,-0.021,0.000e+0
LINC02160,-0.001,-0.021,0.000e+0
PLVAP,-0.002,-0.021,2.727e-31
RN7SL246P,-0.001,-0.021,0.000e+0
RP11-310K10.1,-0.001,-0.021,0.000e+0
NPFF,-0.001,-0.021,0.000e+0
ZNF813,-0.002,-0.021,2.692e-28
VN2R19P,-0.001,-0.021,0.000e+0
AVEN,-0.005,-0.021,3.268e-17
RP11-24J19.1,-0.001,-0.021,0.000e+0
RNA5SP492,-0.001,-0.021,0.000e+0
RNU6-890P,-0.001,-0.021,0.000e+0
CTB-161A2.8,-0.001,-0.021,0.000e+0
RCN1P2,-0.001,-0.021,0.000e+0
RP5-890O3.9,-0.001,-0.021,0.000e+0
RP11-148E17.1,-0.001,-0.021,6.095e-26
HTR5BP,-0.001,-0.021,0.000e+0
AK1,-0.005,-0.021,1.147e-16
RP11-835E18.6,-0.001,-0.021,0.000e+0
RP11-517P14.7,-0.001,-0.021,0.000e+0
AC004985.12,-0.001,-0.021,0.000e+0
ITGB1,-0.006,-0.021,2.364e-16
RPL39P3,-0.001,-0.021,0.000e+0
RP11-68I18.10,-0.001,-0.021,0.000e+0
RP11-136K14.1,-0.001,-0.021,0.000e+0
RP11-506N21.1,-0.001,-0.021,0.000e+0
RP11-1167A19.2,-0.001,-0.021,3.963e-108
RPL32P2,-0.001,-0.021,0.000e+0
TMEM240,-0.002,-0.021,4.860e-18
RP11-178C3.6,-0.001,-0.021,0.000e+0
RP11-720N19.2,-0.001,-0.021,0.000e+0
NRBF2P6,-0.001,-0.021,0.000e+0
CTD-2288O8.3,-0.001,-0.021,0.000e+0
CDH18,-0.027,-0.021,8.955e-17
GAPDHP43,-0.001,-0.021,0.000e+0
SOX30,-0.001,-0.021,1.211e-37
AC097721.2,-0.003,-0.021,1.067e-22
RNU6-353P,-0.001,-0.021,0.000e+0
RNU6-1272P,-0.001,-0.021,0.000e+0
OPCML-IT2,-0.001,-0.021,0.000e+0
CEACAMP1,-0.001,-0.021,0.000e+0
DPPA5P1,-0.001,-0.021,0.000e+0
RP11-118E18.2,-0.001,-0.021,3.897e-169
YY2,-0.001,-0.021,0.000e+0
LINC00400,-0.001,-0.021,0.000e+0
ENSG00000201882.1,-0.001,-0.021,0.000e+0
RP13-895J2.8,-0.001,-0.021,0.000e+0
SHE,-0.002,-0.021,4.169e-34
RNU6-998P,-0.001,-0.021,0.000e+0
RP11-162G10.5,-0.001,-0.021,2.369e-81
MANEAL,-0.005,-0.021,4.805e-19
LINC02861,-0.001,-0.021,0.000e+0
RPL27AP,-0.001,-0.021,0.000e+0
SIGLEC9,-0.001,-0.021,1.854e-38
SNX15,-0.001,-0.021,2.068e-30
RERGL,-0.003,-0.021,7.494e-21
MATN3,-0.001,-0.021,2.250e-77
SULT6B1,-0.001,-0.021,1.033e-35
PAWR,-0.005,-0.021,5.800e-16
RNU1-47P,-0.001,-0.021,0.000e+0
RP11-169L18.2,-0.001,-0.021,0.000e+0
RN7SL455P,-0.001,-0.021,0.000e+0
GPR21,-0.001,-0.021,0.000e+0
RP11-335O4.3,-0.001,-0.021,4.748e-122
MOSPD3,-0.004,-0.021,1.492e-18
RP13-131K19.7,-0.001,-0.021,0.000e+0
RP11-665E10.6,-0.001,-0.021,0.000e+0
RP11-4K3__A.3,-0.001,-0.021,0.000e+0
RP11-158M2.4,-0.001,-0.021,6.546e-131
RP11-223I10.1,-0.001,-0.021,0.000e+0
RN7SL217P,-0.001,-0.021,0.000e+0
RPL7P32,-0.001,-0.021,0.000e+0
MCM10,-0.002,-0.021,1.799e-35
AC073283.7,-0.001,-0.021,0.000e+0
RP11-343C2.11,-0.001,-0.021,2.846e-74
ZACN,-0.002,-0.021,5.442e-40
RP11-64I5.3,-0.001,-0.021,0.000e+0
RP4-797C5.2,-0.001,-0.021,4.886e-226
PSKH2,-0.001,-0.021,1.350e-70
RAET1E,-0.001,-0.021,5.373e-50
RNU7-47P,-0.001,-0.021,0.000e+0
RP11-455G2.1,-0.001,-0.021,0.000e+0
ITGBL1,-0.003,-0.021,8.700e-22
FDXACB1,-0.001,-0.021,0.000e+0
MIR5002,-0.001,-0.021,0.000e+0
RP11-864N7.2,-0.001,-0.021,0.000e+0
LRP12,-0.010,-0.021,3.932e-16
AF131215.2,-0.001,-0.021,0.000e+0
RP11-331K21.1,-0.001,-0.021,2.781e-45
PHBP19,-0.001,-0.021,0.000e+0
C10orf88B,-0.001,-0.021,0.000e+0
TRPV4,-0.002,-0.021,9.600e-32
ACTG1P17,-0.001,-0.021,0.000e+0
LFNG,-0.001,-0.021,1.148e-53
FAM13A-AS1,-0.004,-0.021,1.823e-18
RNU6-523P,-0.001,-0.021,0.000e+0
WDFY3-AS1,-0.001,-0.021,5.885e-45
RSPH6A,-0.002,-0.021,8.169e-32
RP11-407A16.4,-0.001,-0.021,0.000e+0
BTBD10P2,-0.001,-0.021,0.000e+0
ATOX1,-0.006,-0.021,4.740e-17
USP12P1,-0.001,-0.021,0.000e+0
XRCC6P5,-0.001,-0.021,0.000e+0
RP1-274L7.4,-0.001,-0.021,0.000e+0
RP5-1056L3.3,-0.001,-0.021,0.000e+0
ALG1L9P_ENSG00000254978,-0.001,-0.021,0.000e+0
TCEA1,-0.006,-0.021,1.514e-17
AURKB,-0.001,-0.021,1.035e-80
MYLK3,-0.003,-0.021,9.444e-25
RP11-678G15.1,-0.001,-0.021,0.000e+0
SMYD3-IT1,-0.001,-0.021,0.000e+0
HES1,-0.003,-0.021,2.298e-26
LINC01807,-0.002,-0.021,1.062e-26
PCDHA9,-0.001,-0.021,0.000e+0
OTOR,-0.001,-0.021,0.000e+0
PDAP1,-0.006,-0.021,1.864e-17
RP11-32B5.1,-0.001,-0.021,0.000e+0
FGF3,-0.001,-0.021,3.588e-209
CTC-325H20.8,-0.001,-0.021,0.000e+0
MBD1,-0.006,-0.021,3.632e-16
APCDD1L-DT,-0.001,-0.021,0.000e+0
ARL4D,-0.005,-0.021,2.807e-19
SSC4D,-0.002,-0.021,4.290e-27
H1-1,-0.001,-0.021,1.202e-141
RP11-177H13.2,-0.001,-0.021,0.000e+0
RP11-565P22.6,-0.001,-0.021,0.000e+0
MIR101-1,-0.001,-0.021,0.000e+0
SPINT1,-0.002,-0.021,1.127e-27
EGFL8,-0.001,-0.021,0.000e+0
RP1-196A12.1,-0.001,-0.021,0.000e+0
RP11-424G14.2,-0.001,-0.021,0.000e+0
CTD-2517M22.14,-0.001,-0.021,0.000e+0
C7orf31,-0.002,-0.021,2.057e-26
SNORA37,-0.001,-0.021,0.000e+0
RP11-21C4.1,-0.001,-0.021,5.581e-49
VAV1,-0.003,-0.021,1.470e-30
FAAHP1,-0.001,-0.021,0.000e+0
RPS7P3,-0.001,-0.021,0.000e+0
RAG2,-0.001,-0.021,1.688e-49
CTD-2553L13.4,-0.001,-0.021,0.000e+0
KRT8P15,-0.001,-0.021,0.000e+0
OR2B4P,-0.001,-0.021,0.000e+0
RNU6-195P,-0.001,-0.021,0.000e+0
RP11-521L9.2,-0.001,-0.021,0.000e+0
RNA5SP493,-0.001,-0.021,0.000e+0
AC141930.2,-0.001,-0.021,0.000e+0
FGGY-DT,-0.001,-0.021,0.000e+0
TP53INP1,-0.002,-0.021,5.660e-24
RP11-21L23.2,-0.001,-0.021,0.000e+0
TMED2,-0.006,-0.021,5.897e-18
RP11-317N8.3,-0.001,-0.021,0.000e+0
ARF1P1,-0.001,-0.021,0.000e+0
RPL10P15,-0.001,-0.021,0.000e+0
AKR7L,-0.001,-0.021,0.000e+0
SNORD114-26,-0.001,-0.021,0.000e+0
CTA-351J1.1,-0.001,-0.021,0.000e+0
RNU1-11P,-0.001,-0.021,0.000e+0
UBE2U,-0.002,-0.021,2.088e-33
RP11-706O15.1,-0.001,-0.021,0.000e+0
TATDN2P2,-0.001,-0.021,0.000e+0
RP11-89K11.1,-0.001,-0.021,3.862e-60
RPS21P4,-0.001,-0.021,0.000e+0
IQCF1,-0.001,-0.021,3.017e-55
RGS16,-0.004,-0.021,1.860e-18
RP11-69G16.2,-0.001,-0.022,0.000e+0
TPRKBP2,-0.001,-0.022,0.000e+0
ZFAND4,-0.004,-0.022,1.007e-18
HERPUD2-AS1,-0.002,-0.022,6.314e-31
TMC6,-0.002,-0.022,2.457e-28
OR3A1,-0.001,-0.022,0.000e+0
RP11-390N6.1,-0.007,-0.022,2.973e-16
GABBR2,-0.021,-0.022,5.676e-14
UGT3A2,-0.001,-0.022,5.407e-53
SPAST,-0.010,-0.022,1.574e-17
RP11-968A15.8,-0.001,-0.022,0.000e+0
ITGAD,-0.001,-0.022,2.101e-48
OXER1,-0.001,-0.022,8.463e-178
RP1-266L20.9,-0.001,-0.022,0.000e+0
XGY1,-0.001,-0.022,0.000e+0
CLDND2,-0.001,-0.022,4.753e-288
MCM7,-0.004,-0.022,5.217e-21
SPINK2,-0.001,-0.022,1.035e-49
PPP3R2,-0.001,-0.022,0.000e+0
AP2B1,-0.012,-0.022,2.591e-16
LHCGR,-0.001,-0.022,0.000e+0
REV3L-IT1,-0.001,-0.022,0.000e+0
SNORA21,-0.001,-0.022,0.000e+0
RP11-746M1.1,-0.001,-0.022,0.000e+0
PMCH,-0.001,-0.022,0.000e+0
RP3-403A15.1,-0.001,-0.022,0.000e+0
MIR5585,-0.001,-0.022,0.000e+0
ZNF326,-0.008,-0.022,8.151e-18
CHMP1B-AS1,-0.001,-0.022,3.597e-104
TM4SF1,-0.002,-0.022,1.370e-34
RP11-319G9.5,-0.001,-0.022,0.000e+0
OLFM2,-0.012,-0.022,8.151e-18
RNU6-638P,-0.001,-0.022,0.000e+0
CSNK2A3,-0.001,-0.022,0.000e+0
RNA5SP60,-0.001,-0.022,0.000e+0
GTF2IP14,-0.001,-0.022,0.000e+0
CTB-36H16.2,-0.001,-0.022,0.000e+0
RP11-378A13.1,-0.001,-0.022,0.000e+0
RPL7P18,-0.001,-0.022,0.000e+0
RAB6C,-0.002,-0.022,7.161e-43
ARRB1,-0.008,-0.022,1.112e-17
PCDHA12,-0.001,-0.022,0.000e+0
RP5-916O11.2,-0.001,-0.022,0.000e+0
RP11-320M16.2,-0.003,-0.022,5.932e-23
RP11-134O21.1,-0.004,-0.022,9.970e-21
HDC,-0.002,-0.022,5.245e-69
LINC01036,-0.004,-0.022,3.387e-27
LINC00279,-0.001,-0.022,0.000e+0
RUNX3,-0.001,-0.022,3.505e-86
CKAP2L,-0.002,-0.022,2.774e-41
RP11-10L12.8,-0.001,-0.022,0.000e+0
AMD1P3,-0.001,-0.022,0.000e+0
TIMP2,-0.010,-0.022,2.159e-16
ATXN7L3-AS1,-0.002,-0.022,2.089e-48
NR5A1,-0.001,-0.022,7.949e-155
LINC02568,-0.002,-0.022,1.040e-34
CTC-535M15.1,-0.001,-0.022,0.000e+0
LARP4P,-0.001,-0.022,0.000e+0
RP11-37C7.1,-0.001,-0.022,0.000e+0
RP11-298P3.4,-0.001,-0.022,0.000e+0
RP11-377G16.2,-0.001,-0.022,4.272e-59
VMAC,-0.001,-0.022,0.000e+0
CBX3P5,-0.001,-0.022,0.000e+0
RP3-405J10.3,-0.001,-0.022,0.000e+0
GTF2H4,-0.001,-0.022,3.684e-263
RP11-217L21.1,-0.001,-0.022,0.000e+0
LINC02610,-0.001,-0.022,0.000e+0
GUSBP15,-0.001,-0.022,0.000e+0
RPS2P32,-0.001,-0.022,0.000e+0
SPECC1L-ADORA2A,-0.001,-0.022,0.000e+0
PDCL3P2,-0.001,-0.022,0.000e+0
RP11-361L15.5,-0.001,-0.022,0.000e+0
TMEM51,-0.003,-0.022,2.446e-21
TCP11,-0.001,-0.022,4.940e-57
RPL32P32,-0.001,-0.022,0.000e+0
NFYA,-0.003,-0.022,1.939e-23
RP11-791G22.3,-0.001,-0.022,0.000e+0
CTD-2002H8.2,-0.001,-0.022,0.000e+0
RP11-10O17.1,-0.001,-0.022,0.000e+0
TM4SF5,-0.001,-0.022,1.444e-63
MEIS1-AS2,-0.001,-0.022,2.213e-80
MYO6,-0.013,-0.022,1.474e-15
RP11-561O4.1,-0.001,-0.022,0.000e+0
SATB2-AS1,-0.005,-0.022,2.753e-22
RP1-292B18.3,-0.001,-0.022,1.763e-156
MTFR2P1,-0.001,-0.022,0.000e+0
RAPGEF1,-0.010,-0.022,6.046e-18
CTB-23I7.1,-0.001,-0.022,0.000e+0
TRIM16,-0.005,-0.022,2.508e-20
ZNF785,-0.006,-0.022,9.850e-20
PAFAH2,-0.004,-0.022,1.523e-25
NPM1P41,-0.001,-0.022,0.000e+0
NACA3P,-0.001,-0.022,0.000e+0
IL7R,-0.001,-0.022,9.196e-64
ZNF32-AS2,-0.001,-0.022,0.000e+0
MIR940,-0.001,-0.022,0.000e+0
ZPLD2P,-0.001,-0.022,0.000e+0
C2orf81,-0.001,-0.022,0.000e+0
FCF1P2,-0.001,-0.022,0.000e+0
RP11-640N20.9,-0.001,-0.022,0.000e+0
RP11-5L12.1,-0.001,-0.022,0.000e+0
SLC47A1P1,-0.001,-0.022,0.000e+0
RP11-556G22.1,-0.001,-0.022,0.000e+0
SEC14L1P1,-0.001,-0.022,0.000e+0
RP11-531A21.6,-0.001,-0.022,0.000e+0
DGKD,-0.010,-0.022,4.412e-16
RAB25,-0.001,-0.022,1.859e-59
ZNF532,-0.013,-0.022,1.275e-16
RP11-582E3.4,-0.001,-0.022,0.000e+0
TNFAIP8,-0.002,-0.022,3.726e-26
RPL21P99,-0.001,-0.022,0.000e+0
RPL10P9,-0.001,-0.022,0.000e+0
MXRA7P1,-0.001,-0.022,0.000e+0
ZC3H12D,-0.002,-0.022,8.742e-29
LINC02397,-0.001,-0.022,4.570e-45
P2RY13,-0.001,-0.022,1.670e-64
IRX1,-0.001,-0.022,4.923e-267
HILPDA,-0.003,-0.022,2.078e-22
LEFTY1,-0.002,-0.022,3.071e-28
CTA-396D5.2,-0.001,-0.022,0.000e+0
RP13-46H24.3,-0.001,-0.022,0.000e+0
CTD-3035D6.1,-0.001,-0.022,0.000e+0
SAMD11,-0.001,-0.022,7.633e-41
RP11-1086F11.1,-0.001,-0.022,0.000e+0
SLC16A13,-0.002,-0.022,8.404e-33
RHOJ,-0.004,-0.022,2.864e-26
HBE1,-0.001,-0.022,0.000e+0
LINC00899,-0.001,-0.022,0.000e+0
S1PR1,-0.002,-0.022,1.091e-37
LINC02770,-0.003,-0.022,1.760e-37
ALDH16A1,-0.001,-0.022,6.263e-44
PGAM4,-0.001,-0.022,4.730e-265
RP11-110I1.6,-0.001,-0.022,1.913e-73
